Label (Grouping),New York!!Total!!Estimate,New York!!Total!!Margin of Error,New York!!Percent!!Estimate,New York!!Percent!!Margin of Error,New York!!Male!!Estimate,New York!!Male!!Margin of Error,New York!!Percent Male!!Estimate,New York!!Percent Male!!Margin of Error,New York!!Female!!Estimate,New York!!Female!!Margin of Error,New York!!Percent Female!!Estimate,New York!!Percent Female!!Margin of Error,"Albany County, New York!!Total!!Estimate","Albany County, New York!!Total!!Margin of Error","Albany County, New York!!Percent!!Estimate","Albany County, New York!!Percent!!Margin of Error","Albany County, New York!!Male!!Estimate","Albany County, New York!!Male!!Margin of Error","Albany County, New York!!Percent Male!!Estimate","Albany County, New York!!Percent Male!!Margin of Error","Albany County, New York!!Female!!Estimate","Albany County, New York!!Female!!Margin of Error","Albany County, New York!!Percent Female!!Estimate","Albany County, New York!!Percent Female!!Margin of Error","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Total!!Margin of Error","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Percent!!Margin of Error","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Male!!Margin of Error","Bronx County, New York!!Percent Male!!Estimate","Bronx County, New York!!Percent Male!!Margin of Error","Bronx County, New York!!Female!!Estimate","Bronx County, New York!!Female!!Margin of Error","Bronx County, New York!!Percent Female!!Estimate","Bronx County, New York!!Percent Female!!Margin of Error","Broome County, New York!!Total!!Estimate","Broome County, New York!!Total!!Margin of Error","Broome County, New York!!Percent!!Estimate","Broome County, New York!!Percent!!Margin of Error","Broome County, New York!!Male!!Estimate","Broome County, New York!!Male!!Margin of Error","Broome County, New York!!Percent Male!!Estimate","Broome County, New York!!Percent Male!!Margin of Error","Broome County, New York!!Female!!Estimate","Broome County, New York!!Female!!Margin of Error","Broome County, New York!!Percent Female!!Estimate","Broome County, New York!!Percent Female!!Margin of Error","Cattaraugus County, New York!!Total!!Estimate","Cattaraugus County, New York!!Total!!Margin of Error","Cattaraugus County, New York!!Percent!!Estimate","Cattaraugus County, New York!!Percent!!Margin of Error","Cattaraugus County, New York!!Male!!Estimate","Cattaraugus County, New York!!Male!!Margin of Error","Cattaraugus County, New York!!Percent Male!!Estimate","Cattaraugus County, New York!!Percent Male!!Margin of Error","Cattaraugus County, New York!!Female!!Estimate","Cattaraugus County, New York!!Female!!Margin of Error","Cattaraugus County, New York!!Percent Female!!Estimate","Cattaraugus County, New York!!Percent Female!!Margin of Error","Cayuga County, New York!!Total!!Estimate","Cayuga County, New York!!Total!!Margin of Error","Cayuga County, New York!!Percent!!Estimate","Cayuga County, New York!!Percent!!Margin of Error","Cayuga County, New York!!Male!!Estimate","Cayuga County, New York!!Male!!Margin of Error","Cayuga County, New York!!Percent Male!!Estimate","Cayuga County, New York!!Percent Male!!Margin of Error","Cayuga County, New York!!Female!!Estimate","Cayuga County, New York!!Female!!Margin of Error","Cayuga County, New York!!Percent Female!!Estimate","Cayuga County, New York!!Percent Female!!Margin of Error","Chautauqua County, New York!!Total!!Estimate","Chautauqua County, New York!!Total!!Margin of Error","Chautauqua County, New York!!Percent!!Estimate","Chautauqua County, New York!!Percent!!Margin of Error","Chautauqua County, New York!!Male!!Estimate","Chautauqua County, New York!!Male!!Margin of Error","Chautauqua County, New York!!Percent Male!!Estimate","Chautauqua County, New York!!Percent Male!!Margin of Error","Chautauqua County, New York!!Female!!Estimate","Chautauqua County, New York!!Female!!Margin of Error","Chautauqua County, New York!!Percent Female!!Estimate","Chautauqua County, New York!!Percent Female!!Margin of Error","Chemung County, New York!!Total!!Estimate","Chemung County, New York!!Total!!Margin of Error","Chemung County, New York!!Percent!!Estimate","Chemung County, New York!!Percent!!Margin of Error","Chemung County, New York!!Male!!Estimate","Chemung County, New York!!Male!!Margin of Error","Chemung County, New York!!Percent Male!!Estimate","Chemung County, New York!!Percent Male!!Margin of Error","Chemung County, New York!!Female!!Estimate","Chemung County, New York!!Female!!Margin of Error","Chemung County, New York!!Percent Female!!Estimate","Chemung County, New York!!Percent Female!!Margin of Error","Clinton County, New York!!Total!!Estimate","Clinton County, New York!!Total!!Margin of Error","Clinton County, New York!!Percent!!Estimate","Clinton County, New York!!Percent!!Margin of Error","Clinton County, New York!!Male!!Estimate","Clinton County, New York!!Male!!Margin of Error","Clinton County, New York!!Percent Male!!Estimate","Clinton County, New York!!Percent Male!!Margin of Error","Clinton County, New York!!Female!!Estimate","Clinton County, New York!!Female!!Margin of Error","Clinton County, New York!!Percent Female!!Estimate","Clinton County, New York!!Percent Female!!Margin of Error","Dutchess County, New York!!Total!!Estimate","Dutchess County, New York!!Total!!Margin of Error","Dutchess County, New York!!Percent!!Estimate","Dutchess County, New York!!Percent!!Margin of Error","Dutchess County, New York!!Male!!Estimate","Dutchess County, New York!!Male!!Margin of Error","Dutchess County, New York!!Percent Male!!Estimate","Dutchess County, New York!!Percent Male!!Margin of Error","Dutchess County, New York!!Female!!Estimate","Dutchess County, New York!!Female!!Margin of Error","Dutchess County, New York!!Percent Female!!Estimate","Dutchess County, New York!!Percent Female!!Margin of Error","Erie County, New York!!Total!!Estimate","Erie County, New York!!Total!!Margin of Error","Erie County, New York!!Percent!!Estimate","Erie County, New York!!Percent!!Margin of Error","Erie County, New York!!Male!!Estimate","Erie County, New York!!Male!!Margin of Error","Erie County, New York!!Percent Male!!Estimate","Erie County, New York!!Percent Male!!Margin of Error","Erie County, New York!!Female!!Estimate","Erie County, New York!!Female!!Margin of Error","Erie County, New York!!Percent Female!!Estimate","Erie County, New York!!Percent Female!!Margin of Error","Jefferson County, New York!!Total!!Estimate","Jefferson County, New York!!Total!!Margin of Error","Jefferson County, New York!!Percent!!Estimate","Jefferson County, New York!!Percent!!Margin of Error","Jefferson County, New York!!Male!!Estimate","Jefferson County, New York!!Male!!Margin of Error","Jefferson County, New York!!Percent Male!!Estimate","Jefferson County, New York!!Percent Male!!Margin of Error","Jefferson County, New York!!Female!!Estimate","Jefferson County, New York!!Female!!Margin of Error","Jefferson County, New York!!Percent Female!!Estimate","Jefferson County, New York!!Percent Female!!Margin of Error","Kings County, New York!!Total!!Estimate","Kings County, New York!!Total!!Margin of Error","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Percent!!Margin of Error","Kings County, New York!!Male!!Estimate","Kings County, New York!!Male!!Margin of Error","Kings County, New York!!Percent Male!!Estimate","Kings County, New York!!Percent Male!!Margin of Error","Kings County, New York!!Female!!Estimate","Kings County, New York!!Female!!Margin of Error","Kings County, New York!!Percent Female!!Estimate","Kings County, New York!!Percent Female!!Margin of Error","Madison County, New York!!Total!!Estimate","Madison County, New York!!Total!!Margin of Error","Madison County, New York!!Percent!!Estimate","Madison County, New York!!Percent!!Margin of Error","Madison County, New York!!Male!!Estimate","Madison County, New York!!Male!!Margin of Error","Madison County, New York!!Percent Male!!Estimate","Madison County, New York!!Percent Male!!Margin of Error","Madison County, New York!!Female!!Estimate","Madison County, New York!!Female!!Margin of Error","Madison County, New York!!Percent Female!!Estimate","Madison County, New York!!Percent Female!!Margin of Error","Monroe County, New York!!Total!!Estimate","Monroe County, New York!!Total!!Margin of Error","Monroe County, New York!!Percent!!Estimate","Monroe County, New York!!Percent!!Margin of Error","Monroe County, New York!!Male!!Estimate","Monroe County, New York!!Male!!Margin of Error","Monroe County, New York!!Percent Male!!Estimate","Monroe County, New York!!Percent Male!!Margin of Error","Monroe County, New York!!Female!!Estimate","Monroe County, New York!!Female!!Margin of Error","Monroe County, New York!!Percent Female!!Estimate","Monroe County, New York!!Percent Female!!Margin of Error","Nassau County, New York!!Total!!Estimate","Nassau County, New York!!Total!!Margin of Error","Nassau County, New York!!Percent!!Estimate","Nassau County, New York!!Percent!!Margin of Error","Nassau County, New York!!Male!!Estimate","Nassau County, New York!!Male!!Margin of Error","Nassau County, New York!!Percent Male!!Estimate","Nassau County, New York!!Percent Male!!Margin of Error","Nassau County, New York!!Female!!Estimate","Nassau County, New York!!Female!!Margin of Error","Nassau County, New York!!Percent Female!!Estimate","Nassau County, New York!!Percent Female!!Margin of Error","New York County, New York!!Total!!Estimate","New York County, New York!!Total!!Margin of Error","New York County, New York!!Percent!!Estimate","New York County, New York!!Percent!!Margin of Error","New York County, New York!!Male!!Estimate","New York County, New York!!Male!!Margin of Error","New York County, New York!!Percent Male!!Estimate","New York County, New York!!Percent Male!!Margin of Error","New York County, New York!!Female!!Estimate","New York County, New York!!Female!!Margin of Error","New York County, New York!!Percent Female!!Estimate","New York County, New York!!Percent Female!!Margin of Error","Niagara County, New York!!Total!!Estimate","Niagara County, New York!!Total!!Margin of Error","Niagara County, New York!!Percent!!Estimate","Niagara County, New York!!Percent!!Margin of Error","Niagara County, New York!!Male!!Estimate","Niagara County, New York!!Male!!Margin of Error","Niagara County, New York!!Percent Male!!Estimate","Niagara County, New York!!Percent Male!!Margin of Error","Niagara County, New York!!Female!!Estimate","Niagara County, New York!!Female!!Margin of Error","Niagara County, New York!!Percent Female!!Estimate","Niagara County, New York!!Percent Female!!Margin of Error","Oneida County, New York!!Total!!Estimate","Oneida County, New York!!Total!!Margin of Error","Oneida County, New York!!Percent!!Estimate","Oneida County, New York!!Percent!!Margin of Error","Oneida County, New York!!Male!!Estimate","Oneida County, New York!!Male!!Margin of Error","Oneida County, New York!!Percent Male!!Estimate","Oneida County, New York!!Percent Male!!Margin of Error","Oneida County, New York!!Female!!Estimate","Oneida County, New York!!Female!!Margin of Error","Oneida County, New York!!Percent Female!!Estimate","Oneida County, New York!!Percent Female!!Margin of Error","Onondaga County, New York!!Total!!Estimate","Onondaga County, New York!!Total!!Margin of Error","Onondaga County, New York!!Percent!!Estimate","Onondaga County, New York!!Percent!!Margin of Error","Onondaga County, New York!!Male!!Estimate","Onondaga County, New York!!Male!!Margin of Error","Onondaga County, New York!!Percent Male!!Estimate","Onondaga County, New York!!Percent Male!!Margin of Error","Onondaga County, New York!!Female!!Estimate","Onondaga County, New York!!Female!!Margin of Error","Onondaga County, New York!!Percent Female!!Estimate","Onondaga County, New York!!Percent Female!!Margin of Error","Ontario County, New York!!Total!!Estimate","Ontario County, New York!!Total!!Margin of Error","Ontario County, New York!!Percent!!Estimate","Ontario County, New York!!Percent!!Margin of Error","Ontario County, New York!!Male!!Estimate","Ontario County, New York!!Male!!Margin of Error","Ontario County, New York!!Percent Male!!Estimate","Ontario County, New York!!Percent Male!!Margin of Error","Ontario County, New York!!Female!!Estimate","Ontario County, New York!!Female!!Margin of Error","Ontario County, New York!!Percent Female!!Estimate","Ontario County, New York!!Percent Female!!Margin of Error","Orange County, New York!!Total!!Estimate","Orange County, New York!!Total!!Margin of Error","Orange County, New York!!Percent!!Estimate","Orange County, New York!!Percent!!Margin of Error","Orange County, New York!!Male!!Estimate","Orange County, New York!!Male!!Margin of Error","Orange County, New York!!Percent Male!!Estimate","Orange County, New York!!Percent Male!!Margin of Error","Orange County, New York!!Female!!Estimate","Orange County, New York!!Female!!Margin of Error","Orange County, New York!!Percent Female!!Estimate","Orange County, New York!!Percent Female!!Margin of Error","Oswego County, New York!!Total!!Estimate","Oswego County, New York!!Total!!Margin of Error","Oswego County, New York!!Percent!!Estimate","Oswego County, New York!!Percent!!Margin of Error","Oswego County, New York!!Male!!Estimate","Oswego County, New York!!Male!!Margin of Error","Oswego County, New York!!Percent Male!!Estimate","Oswego County, New York!!Percent Male!!Margin of Error","Oswego County, New York!!Female!!Estimate","Oswego County, New York!!Female!!Margin of Error","Oswego County, New York!!Percent Female!!Estimate","Oswego County, New York!!Percent Female!!Margin of Error","Putnam County, New York!!Total!!Estimate","Putnam County, New York!!Total!!Margin of Error","Putnam County, New York!!Percent!!Estimate","Putnam County, New York!!Percent!!Margin of Error","Putnam County, New York!!Male!!Estimate","Putnam County, New York!!Male!!Margin of Error","Putnam County, New York!!Percent Male!!Estimate","Putnam County, New York!!Percent Male!!Margin of Error","Putnam County, New York!!Female!!Estimate","Putnam County, New York!!Female!!Margin of Error","Putnam County, New York!!Percent Female!!Estimate","Putnam County, New York!!Percent Female!!Margin of Error","Queens County, New York!!Total!!Estimate","Queens County, New York!!Total!!Margin of Error","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Percent!!Margin of Error","Queens County, New York!!Male!!Estimate","Queens County, New York!!Male!!Margin of Error","Queens County, New York!!Percent Male!!Estimate","Queens County, New York!!Percent Male!!Margin of Error","Queens County, New York!!Female!!Estimate","Queens County, New York!!Female!!Margin of Error","Queens County, New York!!Percent Female!!Estimate","Queens County, New York!!Percent Female!!Margin of Error","Rensselaer County, New York!!Total!!Estimate","Rensselaer County, New York!!Total!!Margin of Error","Rensselaer County, New York!!Percent!!Estimate","Rensselaer County, New York!!Percent!!Margin of Error","Rensselaer County, New York!!Male!!Estimate","Rensselaer County, New York!!Male!!Margin of Error","Rensselaer County, New York!!Percent Male!!Estimate","Rensselaer County, New York!!Percent Male!!Margin of Error","Rensselaer County, New York!!Female!!Estimate","Rensselaer County, New York!!Female!!Margin of Error","Rensselaer County, New York!!Percent Female!!Estimate","Rensselaer County, New York!!Percent Female!!Margin of Error","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Total!!Margin of Error","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Percent!!Margin of Error","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Male!!Margin of Error","Richmond County, New York!!Percent Male!!Estimate","Richmond County, New York!!Percent Male!!Margin of Error","Richmond County, New York!!Female!!Estimate","Richmond County, New York!!Female!!Margin of Error","Richmond County, New York!!Percent Female!!Estimate","Richmond County, New York!!Percent Female!!Margin of Error","Rockland County, New York!!Total!!Estimate","Rockland County, New York!!Total!!Margin of Error","Rockland County, New York!!Percent!!Estimate","Rockland County, New York!!Percent!!Margin of Error","Rockland County, New York!!Male!!Estimate","Rockland County, New York!!Male!!Margin of Error","Rockland County, New York!!Percent Male!!Estimate","Rockland County, New York!!Percent Male!!Margin of Error","Rockland County, New York!!Female!!Estimate","Rockland County, New York!!Female!!Margin of Error","Rockland County, New York!!Percent Female!!Estimate","Rockland County, New York!!Percent Female!!Margin of Error","St. Lawrence County, New York!!Total!!Estimate","St. Lawrence County, New York!!Total!!Margin of Error","St. Lawrence County, New York!!Percent!!Estimate","St. Lawrence County, New York!!Percent!!Margin of Error","St. Lawrence County, New York!!Male!!Estimate","St. Lawrence County, New York!!Male!!Margin of Error","St. Lawrence County, New York!!Percent Male!!Estimate","St. Lawrence County, New York!!Percent Male!!Margin of Error","St. Lawrence County, New York!!Female!!Estimate","St. Lawrence County, New York!!Female!!Margin of Error","St. Lawrence County, New York!!Percent Female!!Estimate","St. Lawrence County, New York!!Percent Female!!Margin of Error","Saratoga County, New York!!Total!!Estimate","Saratoga County, New York!!Total!!Margin of Error","Saratoga County, New York!!Percent!!Estimate","Saratoga County, New York!!Percent!!Margin of Error","Saratoga County, New York!!Male!!Estimate","Saratoga County, New York!!Male!!Margin of Error","Saratoga County, New York!!Percent Male!!Estimate","Saratoga County, New York!!Percent Male!!Margin of Error","Saratoga County, New York!!Female!!Estimate","Saratoga County, New York!!Female!!Margin of Error","Saratoga County, New York!!Percent Female!!Estimate","Saratoga County, New York!!Percent Female!!Margin of Error","Schenectady County, New York!!Total!!Estimate","Schenectady County, New York!!Total!!Margin of Error","Schenectady County, New York!!Percent!!Estimate","Schenectady County, New York!!Percent!!Margin of Error","Schenectady County, New York!!Male!!Estimate","Schenectady County, New York!!Male!!Margin of Error","Schenectady County, New York!!Percent Male!!Estimate","Schenectady County, New York!!Percent Male!!Margin of Error","Schenectady County, New York!!Female!!Estimate","Schenectady County, New York!!Female!!Margin of Error","Schenectady County, New York!!Percent Female!!Estimate","Schenectady County, New York!!Percent Female!!Margin of Error","Steuben County, New York!!Total!!Estimate","Steuben County, New York!!Total!!Margin of Error","Steuben County, New York!!Percent!!Estimate","Steuben County, New York!!Percent!!Margin of Error","Steuben County, New York!!Male!!Estimate","Steuben County, New York!!Male!!Margin of Error","Steuben County, New York!!Percent Male!!Estimate","Steuben County, New York!!Percent Male!!Margin of Error","Steuben County, New York!!Female!!Estimate","Steuben County, New York!!Female!!Margin of Error","Steuben County, New York!!Percent Female!!Estimate","Steuben County, New York!!Percent Female!!Margin of Error","Suffolk County, New York!!Total!!Estimate","Suffolk County, New York!!Total!!Margin of Error","Suffolk County, New York!!Percent!!Estimate","Suffolk County, New York!!Percent!!Margin of Error","Suffolk County, New York!!Male!!Estimate","Suffolk County, New York!!Male!!Margin of Error","Suffolk County, New York!!Percent Male!!Estimate","Suffolk County, New York!!Percent Male!!Margin of Error","Suffolk County, New York!!Female!!Estimate","Suffolk County, New York!!Female!!Margin of Error","Suffolk County, New York!!Percent Female!!Estimate","Suffolk County, New York!!Percent Female!!Margin of Error","Sullivan County, New York!!Total!!Estimate","Sullivan County, New York!!Total!!Margin of Error","Sullivan County, New York!!Percent!!Estimate","Sullivan County, New York!!Percent!!Margin of Error","Sullivan County, New York!!Male!!Estimate","Sullivan County, New York!!Male!!Margin of Error","Sullivan County, New York!!Percent Male!!Estimate","Sullivan County, New York!!Percent Male!!Margin of Error","Sullivan County, New York!!Female!!Estimate","Sullivan County, New York!!Female!!Margin of Error","Sullivan County, New York!!Percent Female!!Estimate","Sullivan County, New York!!Percent Female!!Margin of Error","Tompkins County, New York!!Total!!Estimate","Tompkins County, New York!!Total!!Margin of Error","Tompkins County, New York!!Percent!!Estimate","Tompkins County, New York!!Percent!!Margin of Error","Tompkins County, New York!!Male!!Estimate","Tompkins County, New York!!Male!!Margin of Error","Tompkins County, New York!!Percent Male!!Estimate","Tompkins County, New York!!Percent Male!!Margin of Error","Tompkins County, New York!!Female!!Estimate","Tompkins County, New York!!Female!!Margin of Error","Tompkins County, New York!!Percent Female!!Estimate","Tompkins County, New York!!Percent Female!!Margin of Error","Ulster County, New York!!Total!!Estimate","Ulster County, New York!!Total!!Margin of Error","Ulster County, New York!!Percent!!Estimate","Ulster County, New York!!Percent!!Margin of Error","Ulster County, New York!!Male!!Estimate","Ulster County, New York!!Male!!Margin of Error","Ulster County, New York!!Percent Male!!Estimate","Ulster County, New York!!Percent Male!!Margin of Error","Ulster County, New York!!Female!!Estimate","Ulster County, New York!!Female!!Margin of Error","Ulster County, New York!!Percent Female!!Estimate","Ulster County, New York!!Percent Female!!Margin of Error","Warren County, New York!!Total!!Estimate","Warren County, New York!!Total!!Margin of Error","Warren County, New York!!Percent!!Estimate","Warren County, New York!!Percent!!Margin of Error","Warren County, New York!!Male!!Estimate","Warren County, New York!!Male!!Margin of Error","Warren County, New York!!Percent Male!!Estimate","Warren County, New York!!Percent Male!!Margin of Error","Warren County, New York!!Female!!Estimate","Warren County, New York!!Female!!Margin of Error","Warren County, New York!!Percent Female!!Estimate","Warren County, New York!!Percent Female!!Margin of Error","Wayne County, New York!!Total!!Estimate","Wayne County, New York!!Total!!Margin of Error","Wayne County, New York!!Percent!!Estimate","Wayne County, New York!!Percent!!Margin of Error","Wayne County, New York!!Male!!Estimate","Wayne County, New York!!Male!!Margin of Error","Wayne County, New York!!Percent Male!!Estimate","Wayne County, New York!!Percent Male!!Margin of Error","Wayne County, New York!!Female!!Estimate","Wayne County, New York!!Female!!Margin of Error","Wayne County, New York!!Percent Female!!Estimate","Wayne County, New York!!Percent Female!!Margin of Error","Westchester County, New York!!Total!!Estimate","Westchester County, New York!!Total!!Margin of Error","Westchester County, New York!!Percent!!Estimate","Westchester County, New York!!Percent!!Margin of Error","Westchester County, New York!!Male!!Estimate","Westchester County, New York!!Male!!Margin of Error","Westchester County, New York!!Percent Male!!Estimate","Westchester County, New York!!Percent Male!!Margin of Error","Westchester County, New York!!Female!!Estimate","Westchester County, New York!!Female!!Margin of Error","Westchester County, New York!!Percent Female!!Estimate","Westchester County, New York!!Percent Female!!Margin of Error"
Total population 25 years and over with a Bachelor's degree or higher,"5,556,561","±33,405",(X),(X),"2,561,363","±21,001",(X),(X),"2,995,198","±23,151",(X),(X),"93,158","±4,463",(X),(X),"42,642","±2,618",(X),(X),"50,516","±2,613",(X),(X),"199,135","±9,133",(X),(X),"77,473","±5,049",(X),(X),"121,662","±7,048",(X),(X),"41,439","±3,307",(X),(X),"18,837","±1,828",(X),(X),"22,602","±2,174",(X),(X),"11,667","±1,216",(X),(X),"5,097",±707,(X),(X),"6,570",±814,(X),(X),"14,668","±1,764",(X),(X),"5,957","±1,031",(X),(X),"8,711","±1,129",(X),(X),"23,786","±1,668",(X),(X),"10,558","±1,194",(X),(X),"13,228","±1,236",(X),(X),"15,690","±1,594",(X),(X),"7,460","±1,253",(X),(X),"8,230","±1,116",(X),(X),"16,387","±1,813",(X),(X),"7,136","±1,178",(X),(X),"9,251","±1,092",(X),(X),"88,921","±4,268",(X),(X),"41,748","±2,516",(X),(X),"47,173","±2,643",(X),(X),"253,846","±8,380",(X),(X),"120,076","±5,052",(X),(X),"133,770","±4,932",(X),(X),"19,991","±2,400",(X),(X),"9,415","±1,526",(X),(X),"10,576","±1,391",(X),(X),"769,512","±12,028",(X),(X),"346,420","±7,611",(X),(X),"423,092","±8,203",(X),(X),"14,889","±1,088",(X),(X),"7,105",±655,(X),(X),"7,784",±727,(X),(X),"213,516","±7,290",(X),(X),"102,632","±4,887",(X),(X),"110,884","±4,263",(X),(X),"479,188","±10,773",(X),(X),"228,115","±6,515",(X),(X),"251,073","±6,934",(X),(X),"789,449","±10,983",(X),(X),"379,239","±6,589",(X),(X),"410,210","±7,131",(X),(X),"43,917","±3,059",(X),(X),"19,915","±1,890",(X),(X),"24,002","±2,242",(X),(X),"47,850","±3,588",(X),(X),"21,834","±2,119",(X),(X),"26,016","±2,206",(X),(X),"125,903","±4,729",(X),(X),"57,079","±3,468",(X),(X),"68,824","±2,677",(X),(X),"29,079","±2,351",(X),(X),"14,177","±1,383",(X),(X),"14,902","±1,529",(X),(X),"80,806","±4,238",(X),(X),"33,751","±2,654",(X),(X),"47,055","±2,707",(X),(X),"16,678","±1,765",(X),(X),"6,891",±924,(X),(X),"9,787","±1,181",(X),(X),"32,333","±2,206",(X),(X),"15,313","±1,364",(X),(X),"17,020","±1,485",(X),(X),"589,793","±12,337",(X),(X),"273,229","±7,931",(X),(X),"316,564","±8,542",(X),(X),"41,641","±4,129",(X),(X),"19,586","±2,202",(X),(X),"22,055","±2,630",(X),(X),"117,560","±5,224",(X),(X),"50,907","±3,236",(X),(X),"66,653","±3,496",(X),(X),"93,939","±3,900",(X),(X),"43,209","±2,661",(X),(X),"50,730","±2,559",(X),(X),"17,052","±1,988",(X),(X),"7,619","±1,148",(X),(X),"9,433","±1,285",(X),(X),"77,756","±4,233",(X),(X),"37,624","±2,533",(X),(X),"40,132","±2,584",(X),(X),"42,239","±2,540",(X),(X),"18,992","±1,662",(X),(X),"23,247","±1,706",(X),(X),"16,252","±1,783",(X),(X),"7,827","±1,058",(X),(X),"8,425","±1,185",(X),(X),"433,353","±9,385",(X),(X),"203,403","±5,563",(X),(X),"229,950","±5,709",(X),(X),"16,742","±2,050",(X),(X),"7,556","±1,237",(X),(X),"9,186","±1,213",(X),(X),"37,402","±2,412",(X),(X),"16,598","±1,577",(X),(X),"20,804","±1,325",(X),(X),"52,688","±3,337",(X),(X),"23,471","±2,302",(X),(X),"29,217","±1,789",(X),(X),"16,561","±1,455",(X),(X),"7,644",±998,(X),(X),"8,917",±896,(X),(X),"18,309","±1,829",(X),(X),"8,931","±1,156",(X),(X),"9,378","±1,162",(X),(X),"365,820","±6,704",(X),(X),"168,019","±4,967",(X),(X),"197,801","±5,213",(X),(X)
